Document No.;Type;Quantity;Item No.;Item Description;barcode
S-OTP-26-17612;SHIPMENT;1,00;NTR102078;ISG IOLANI kut L Giulia 9713 Giulia 9713 EX.;NTR102078
S-OTP-26-17612;SHIPMENT;1124,0102;NTR102079;ISG IOLANI kut D Giulia 9713 Giulia 9713 EX.;NTR102079
S-OTP-26-17612;SHIPMENT;5,52;NTR99757;ISG WINTON kut Olio 135 Olio 135 OT FSC MIX Credit EX.;NTR99757
S-OTP-26-17612;SHIPMENT;2,00;NTR102080;ISG IKANO U kut L Degan 2513 noge: bukva natur EX.;NTR102080
S-OTP-26-17612;SHIPMENT;1,10152;NTR102081;ISG IKANO U kut D Degan 2501 noge: bukva natur EX.;NTR102081
S-OTP-26-17685;SHIPMENT;1,452;NGP202233;PC LIBERTA regal komoda 3VR+OTV. TIP 1 KORPUS hrast classic pak.1/3 ZA.;NGP202233
S-OTP-26-17685;SHIPMENT;1,00;NGP202417;PC LIBERTA regal TV komoda viseća PLAFON 240 hrast classic ZA.;NGP202417
S-OTP-26-17685;SHIPMENT;1,10152;NGP202234;PC LIBERTA regal komoda 3VR+OTV. TIP 2 KORPUS hrast classic pak.2/3 ZA.;NGP202234
S-OTP-26-17685;SHIPMENT;1,00;NGP202235;PC LIBERTA regal komoda 3VR+OTV. TIP 3 KORPUS hrast classic pak.3/3 ZA.;NGP202235
S-OTP-26-17685;SHIPMENT;1,00;NGP202287;PC LIBERTA regal komoda 3VR+OTV. PLAFON hrast classic pak.1/2 ZA.;NGP202287
S-OTP-26-17685;SHIPMENT;1,00;NGP202288;PC LIBERTA regal komoda 3VR+OTV. NOGA hrast classic pak.2/2 ZA.;NGP202288
S-OTP-26-17685;SHIPMENT;1,00;NGP202283;PC LIBERTA regal komoda 3VR+OTV. VRATA akril satin mat ZA.;NGP202283
S-OTP-26-17685;SHIPMENT;3,00;NGP202369;PC LIBERTA regal TV komoda viseća 2L/80 KORPUS hrast classic pak.1/2 ZA.;NGP202369
S-OTP-26-17685;SHIPMENT;3,00;NGP202371;PC LIBERTA regal TV komoda viseća 2L/80 OKOV hrast classic pak.2/2 ZA.;NGP202371
S-OTP-26-17685;SHIPMENT;3,00;NGP202393;PC LIBERTA regal TV komoda viseća 2L/80 MASKA akril satin mat ZA.;NGP202393
S-OTP-26-17705;SHIPMENT;1,452;NGP239862;IPC stol VITA 160x90 PLOČA hrast ontario/crno pak.1/2;NGP239862
S-OTP-26-17705;SHIPMENT;1,00;NGP239863;IPC stol VITA 160x90 POSTOLJE hrast ontario/crno pak.2/2;NGP239863
S-OTP-26-17713;SHIPMENT;4,00;NTR87583;PSS sjedište stolica ZARA Monaco 9443 sv.siva/Benett 9502 siva pak.1/2;NTR87583
S-OTP-26-17738;SHIPMENT;1,00;NGP254081;PCKK LIBERTA NEXT / 24 bij/champ-champ SUTON NA BREGU 2;NGP254081
S-OTP-26-17738;SHIPMENT;10,032;NGP254082;PCKK LIBERTA NEXT / 24 svj.tek/si.aga-si.aga  SUTON NA BREGU 1;NGP254082
S-OTP-26-17809;SHIPMENT;2,00;NTR89370;LP JASPER komoda niska 45 1VR KORPUS crna mat;NTR89370
S-OTP-26-17809;SHIPMENT;1,00;NTR89373;LP JASPER komoda niska 45 1VR VRATA LIJEVA kašmir;NTR89373
S-OTP-26-17809;SHIPMENT;2,00;NTR89327;LP JASPER komoda plafon jednostruki 45 kašmir;NTR89327
S-OTP-26-17809;SHIPMENT;1,00;NTR89549;LP JASPER komoda niska 45 1VR VRATA DESNA kašmir;NTR89549
S-OTP-26-17809;SHIPMENT;102,510;NTR89552;LP JASPER komoda niska 45 1VR VRATA DESNA crna mat;NTR89552
S-OTP-26-17809;SHIPMENT;2,00;NTR89330;LP JASPER komoda plafon jednostruki 45 crna mat;NTR89330
S-OTP-26-17809;SHIPMENT;4,00;NTR89485;LP metalno postolje 15x44,8x37,8 crno;NTR89485
S-OTP-26-17809;SHIPMENT;1,00;NTR89376;LP JASPER komoda niska 45 1VR VRATA LIJEVA crna mat;NTR89376
S-OTP-26-17809;SHIPMENT;2,00;NTR89367;LP JASPER komoda niska 45 1VR KORPUS kašmir;NTR89367
S-OTP-26-17860;SHIPMENT;2,00;NTR87569;PSS sjedište fotelja TENOR Magnum 207 tamno zelena pak.1/2;NTR87569
S-OTP-26-17860;SHIPMENT;12,00;NTR87576;PSS sjedište stolica TENOR Magnum 207 tamno zelena pak.1/2;NTR87576
S-OTP-26-17860;SHIPMENT;6,00;NTR87577;PSS sjedište stolica TENOR Magnum 28 konjak smeđa pak.1/2;NTR87577
S-OTP-26-17902;SHIPMENT;1,00;NGP253724;PCKK OPTIMA NEXT / 24 tam.tek/cr.pla-cr.pla ŠKOKO INES;NGP253724
S-OTP-26-17902;SHIPMENT;1,00;NGP254894;PCKK SARA / 24 bij/sah.bež-sah.bež BANOVIĆ VILIM;NGP254894
S-OTP-26-17902;SHIPMENT;1,00;NGP254913;PCKK AURORA / 24 bij/champ-champ REŠETAR MIRNA;NGP254913
S-OTP-26-17904;SHIPMENT;1,00;NGP253760;PCKK LIBERTA LUX / 24 bij/akr.bijS-akr.bijS LUKANEC LEVAČIĆ ELIZABETA;NGP253760
S-OTP-26-17904;SHIPMENT;1,00;NGP253788;PCKK CVITA / 24 bij/led.si-bij COOK NEILL;NGP253788
S-OTP-26-17904;SHIPMENT;1,00;NGP253869;PCKK NEA / 24 bij/si.gra-si.pla ŠIROLA TEREZA;NGP253869
S-OTP-26-17904;SHIPMENT;1,00;NGP254923;PCKK LORENA / 24 bij/mag-mag MIČIĆ MAJA;NGP254923
S-OTP-26-17925;SHIPMENT;1,00;NGP074596;PC CVITA krevet lebdeći stranica 200x160/180 bijelo god pak.1/3 ZA.;NGP074596
S-OTP-26-17925;SHIPMENT;1,00;NTR82533;PCM RONI 2/VITO 2 box krevet 160/180 OKOV+NOGE hrast - ulje;NTR82533
S-OTP-26-17925;SHIPMENT;1,00;NTR83613;PCM RONI 2 box krevet 200x180 UZGLAVLJE Deneris 9573 svijetlo sivo;NTR83613
S-OTP-26-17925;SHIPMENT;1,00;NTR83630;PCM RONI/VITO box krevet 200x180 MADRAC Deneris 9573 svijetlo sivo;NTR83630
S-OTP-26-17925;SHIPMENT;2,00;NTR83637;PCM RONI 2/VITO 2 box krevet 200x90 TAPET  Deneris 9573 svijetlo sivo;NTR83637
S-OTP-26-17925;SHIPMENT;1,00;NTR83660;PCM ROSE 2 kr. ladica 200x160 MADRAC Nobel 108 hladno sivo;NTR83660
S-OTP-26-17925;SHIPMENT;1,00;NTR83662;PCM ROSE 2 kr. ladica 200x160 UZGLAVLJE Nobel 108 hladno sivo;NTR83662
S-OTP-26-17925;SHIPMENT;2,00;NTR83668;PCM ROSE 2 kr. ladica 200x80 TAPET Nobel 108 hladno sivo;NTR83668
S-OTP-26-17925;SHIPMENT;1,00;NTR83693;PCM ROSE 2 kr. ladica 200x80 KORPUS DESNI Nobel 108 hladno sivo;NTR83693
S-OTP-26-17925;SHIPMENT;1,00;NTR83711;PCM ROSE 2 kr. ladica 200x80 KORPUS LIJEVI Nobel 108 hladno sivo;NTR83711
S-OTP-26-17925;SHIPMENT;1,00;NTR83804;PCM SELECT box krevet 200x90 KORPUS DESNI Deneris 9573 svijetlo sivo;NTR83804
S-OTP-26-17925;SHIPMENT;7,00;NGP077682;PC CVITA krevet lebdeći stranica 200x160/180 hrast chalet pak.1/3 ZA.;NGP077682
S-OTP-26-17925;SHIPMENT;1,00;NTR83828;PCM SELECT box krevet 200x90 KORPUS LIJEVI Deneris 9573 svijetlo sivo;NTR83828
S-OTP-26-17925;SHIPMENT;1,00;NTR84801;PCM POSTOLJE ULMO crno metal mat;NTR84801
S-OTP-26-17925;SHIPMENT;2,00;NTR85391;PCM fotelja EMERSON hrast ulje Storm 02 krem;NTR85391
S-OTP-26-17925;SHIPMENT;2,00;NTR85393;PCM fotelja EMERSON hrast ulje Storm 37 maslinasto zeleno;NTR85393
S-OTP-26-17925;SHIPMENT;1,00;NTR85401;PCM podnožnik EMERSON hrast ulje Storm 37 maslinasto zeleno;NTR85401
S-OTP-26-17925;SHIPMENT;1,00;NTR92558;PCM LINA 2 fran. krevet 160x200 UZGLAVLJE Mercury 116 crno/Mercury 108 sivo;NTR92558
S-OTP-26-17925;SHIPMENT;1,00;NTR92561;PCM LINA 2 fran. krevet 160x200 UZGLAVLJE Mercury 135 zeleno/Mercury 116 crno;NTR92561
S-OTP-26-17925;SHIPMENT;1,00;NTR92563;PCM LINA 2 fran. krevet 80x200 KORPUS DESNI Mercury 116 crno;NTR92563
S-OTP-26-17925;SHIPMENT;1,00;NTR92566;PCM LINA 2 fran. krevet 80x200 KORPUS DESNI Mercury 135 zeleno;NTR92566
S-OTP-26-17925;SHIPMENT;1,00;NTR92568;PCM LINA 2 fran. krevet 80x200 KORPUS LIJEVI Mercury 116 crno;NTR92568
S-OTP-26-17925;SHIPMENT;1,00;NTR92571;PCM LINA 2 fran. krevet 80x200 KORPUS LIJEVI Mercury 135 zeleno;NTR92571
S-OTP-26-17925;SHIPMENT;1,00;NTR92573;PCM LINA 2 fran. krevet 160x200 TAPET Mercury 116 crno;NTR92573
S-OTP-26-17925;SHIPMENT;1,00;NTR92576;PCM LINA 2 fran. krevet 160x200 TAPET Mercury 135 zeleno;NTR92576
S-OTP-26-17925;SHIPMENT;2,00;NTR92578;PCM LINA 2 fran. krevet 160x200 OKOV+NOGE;NTR92578
S-OTP-26-17925;SHIPMENT;1,00;NTR94623;PCM KETI/VALA fran. krevet 80x200 KORPUS DESNI Timor New 102 sivo;NTR94623
S-OTP-26-17925;SHIPMENT;1,00;NTR94624;PCM KETI/VALA fran. krevet 80x200 KORPUS LIJEVI Timor New 102 sivo;NTR94624
S-OTP-26-17925;SHIPMENT;1,00;NTR94625;PCM KETI/VALA fran. krevet 160x200 TAPET Timor New 102 sivo;NTR94625
S-OTP-26-17925;SHIPMENT;1,00;NTR99409;PCM VALA fran. krevet 160x200 UZGLAVLJE Timor New 102 sivo;NTR99409
S-OTP-26-17925;SHIPMENT;1,00;NGP077683;PC CVITA krevet lebdeći 200x180 hrast chalet pak.2/3 ZA.;NGP077683
S-OTP-26-17925;SHIPMENT;1,00;NGP077684;PC CVITA krevet lebdeći 200x180 hrast chalet pak.3/3 ZA.;NGP077684
S-OTP-26-17925;SHIPMENT;1,00;NGP084136;PC stol DAVOS-R PLOČA 160-210x90 hrast engrain classic ZA.;NGP084136
S-OTP-26-17925;SHIPMENT;1,00;NGP234826;PC CVITA NEXT ormar stranice D+L hrast chalet ZA.;NGP234826
S-OTP-26-17925;SHIPMENT;1,00;NGP234827;PC CVITA NEXT ormar stranice D+L kašmir mat ZA.;NGP234827
S-OTP-26-17925;SHIPMENT;1,00;NGP074597;PC CVITA krevet lebdeći 200x160 bijelo god pak.2/3 ZA.;NGP074597
S-OTP-26-17925;SHIPMENT;2,00;NGP234828;PC CVITA NEXT ormar stranice D+L hrast cremona CANNOLO ZA.;NGP234828
S-OTP-26-17925;SHIPMENT;2,00;NGP234832;PC CVITA NEXT ormar vezna polica + sokl 482 G+D tkanina ZA.;NGP234832
S-OTP-26-17925;SHIPMENT;2,00;NGP234833;PC CVITA NEXT ormar vezna polica/polica ( 5 kom) 482 SREDNJA tkanina ZA.;NGP234833
S-OTP-26-17925;SHIPMENT;5,00;NGP234834;PC CVITA NEXT ormar vezna polica + sokl 982 G+D tkanina ZA.;NGP234834
S-OTP-26-17925;SHIPMENT;1,00;NGP074598;PC CVITA krevet lebdeći 200x160 bijelo god pak.3/3 ZA.;NGP074598
S-OTP-26-17925;SHIPMENT;1,00;NGP234835;PC CVITA NEXT ormar vezna polica/polica ( 1 kom )982 SREDNJA tkanina ZA.;NGP234835
S-OTP-26-17925;SHIPMENT;4,00;NGP234836;PC CVITA NEXT ormar vezna polica/polica 982 ( 2 kom ) SREDNJA tkanina ZA.;NGP234836
S-OTP-26-17925;SHIPMENT;1,00;NGP234839;PC CVITA NEXT ormar vertikala (1 kom) tkanina ZA.;NGP234839
S-OTP-26-17925;SHIPMENT;1,00;NGP234840;PC CVITA NEXT ormar vertikala (2 kom) tkanina ZA.;NGP234840
S-OTP-26-17925;SHIPMENT;3,00;NGP234841;PC CVITA NEXT ormar leđa (2 kom) tkanina ZA.;NGP234841
S-OTP-26-17925;SHIPMENT;7,00;NGP077679;PC CVITA krevet lebdeći 200x160 hrast chalet pak.2/3 ZA.;NGP077679
S-OTP-26-17925;SHIPMENT;2,00;NGP234842;PC CVITA NEXT ormar leđa (3 kom) tkanina ZA.;NGP234842
S-OTP-26-17925;SHIPMENT;2,00;NGP234850;PC CVITA NEXT ormar sokl/ maska 2D kašmir mat ZA.;NGP234850
S-OTP-26-17925;SHIPMENT;1,00;NGP234853;PC CVITA NEXT ormar sokl/ maska 5D kašmir mat ZA.;NGP234853
S-OTP-26-17925;SHIPMENT;2,00;NGP234864;PC CVITA NEXT  ormar 2D okov ZA.;NGP234864
S-OTP-26-17925;SHIPMENT;1,00;NGP234866;PC CVITA NEXT  ormar 3D okov ZA.;NGP234866
S-OTP-26-17925;SHIPMENT;1,00;NGP234888;PC CVITA NEXT ormar korpus 3L ZA.;NGP234888
S-OTP-26-17925;SHIPMENT;1,00;NGP234894;PC CVITA NEXT ormar maska 3L kašmir mat ZA.;NGP234894
S-OTP-26-17925;SHIPMENT;1,00;NGP234909;PC CVITA NEXT  ormar 1D/2D/3D/3D 3L vrata 2116 (1 kom) bijela mat ZA.;NGP234909
S-OTP-26-17925;SHIPMENT;1,00;NGP234911;PC CVITA NEXT  ormar 2D/3D/4D/4D 3L vrata 2116 (2 kom) bijela mat ZA.;NGP234911
S-OTP-26-17925;SHIPMENT;1,00;NGP234917;PC CVITA NEXT  ormar 1D/2D/3D/3D 3L vrata 2116 (1 kom) kašmir mat ZA.;NGP234917
S-OTP-26-17925;SHIPMENT;3,00;NGP234919;PC CVITA NEXT  ormar 2D/3D/4D/4D 3L vrata 2116 (2 kom) kašmir mat ZA.;NGP234919
S-OTP-26-17925;SHIPMENT;1,00;NGP234921;PC CVITA NEXT  ormar 2D 3L/3D 3L/4D 3L  vrata 1408 (2 kom) kašmir mat ZA.;NGP234921
S-OTP-26-17925;SHIPMENT;1,00;NGP234951;PC CVITA NEXT  ormar 1D/2D/2D 3L/3D/3D 3L/4D/4D 3L ručkica 525.27/256 ALU (3 kom) ZA.;NGP234951
S-OTP-26-17925;SHIPMENT;2,00;NGP234952;PC CVITA NEXT  ormar 1D/2D/2D 3L/3D/3D 3L/4D/4D 3L ručkica 525.27/256 ALU (4 kom) ZA.;NGP234952
S-OTP-26-17925;SHIPMENT;2,00;NGP234970;PC CVITA NEXT  ormar 1D/2D/2D 3L/3D/3D 3L/4D/4D 3L ručkica 568.28/882x927 CRNA  (2 kom) ZA.;NGP234970
S-OTP-26-17925;SHIPMENT;1,00;NGP235324;PC stol ARVIO fix 140x90 POSTOLJE crno mat ZA.;NGP235324
S-OTP-26-17925;SHIPMENT;1,00;NGP235694;PC stol ARVIO fix 140x90 PLOČA Black Pietra Grigia ZA.;NGP235694
S-OTP-26-17925;SHIPMENT;1,00;NGP235764;PC CVITA NEXT ormar sokl/ maska 3D bijela mat ZA.;NGP235764
S-OTP-26-17925;SHIPMENT;1,00;NGP235775;PC CVITA NEXT ormar 5D 3L okov ZA.;NGP235775
S-OTP-26-17925;SHIPMENT;1,00;NTR38712;PCM stol DAVOS R NOGE 160/210x90 crno;NTR38712
S-OTP-26-17925;SHIPMENT;20,00;NTR60921;REZ lajsna bukova 2000x50x35 (5 kom );NTR60921
S-OTP-26-17925;SHIPMENT;20,00;NTR60922;REZ lajsna bukova 2000x21x35 (5 kom );NTR60922
S-OTP-26-17925;SHIPMENT;20,00;NTR60923;REZ lajsna bukova 2000x21x21 (5 kom );NTR60923
S-OTP-26-17925;SHIPMENT;5,00;NTR60928;REZ retex 80 gr/m2 (10 m);NTR60928
S-OTP-26-17925;SHIPMENT;20,00;NTR60930;REZ spužva regenerat 100 600x300x20;NTR60930
S-OTP-26-17925;SHIPMENT;2,00;NTR62932;LP PAOLA san remo krevet 200x90 pak.1/3 U-U;NTR62932
S-OTP-26-17925;SHIPMENT;2,00;NTR62933;LP PAOLA san remo krevet 200x90 pak.2/3 STRANICE;NTR62933
S-OTP-26-17925;SHIPMENT;2,00;NTR62934;LP PAOLA san remo krevet 200x90 pak.3/3 OKOV;NTR62934
S-OTP-26-17925;SHIPMENT;20,00;NTR67632;REZ lajsna bukova 2000x50x20 (5 kom);NTR67632
S-OTP-26-17925;SHIPMENT;1,00;NTR78137;PCM stol ATAKAMA PLOČA 240x100  cimet hrast mat lak;NTR78137
S-OTP-26-17925;SHIPMENT;1,00;NTR78859;LP OSKAR LUX II ormar 2D/4V KORPUS bijelo pak.1/2;NTR78859
S-OTP-26-17925;SHIPMENT;1,00;NTR78860;LP OSKAR LUX II ormar 2D/4V KORPUS bijelo pak.2/2;NTR78860
S-OTP-26-17925;SHIPMENT;1,00;NTR78862;LP OSKAR LUX II ormar 2D/4V VRATA bijelo pak.1/2;NTR78862
S-OTP-26-17925;SHIPMENT;1,00;NTR78863;LP OSKAR LUX II ormar 2D/4V VRATA bijelo pak.2/2;NTR78863
S-OTP-26-17925;SHIPMENT;6,00;NGP077680;PC CVITA krevet lebdeći 200x160 hrast chalet pak.3/3 ZA.;NGP077680
S-OTP-26-17925;SHIPMENT;3,00;NTR79974;REZ klamerice za pneumatsku klamericu TIP 80/8 (10000 kom);NTR79974
S-OTP-26-17925;SHIPMENT;3,00;NTR79975;REZ klamerice za pneumatsku klamericu TIP 80/10 (10000 kom);NTR79975
S-OTP-26-17925;SHIPMENT;1,00;NTR81887;PCM BAMBOO madrac 200x160;NTR81887
S-OTP-26-17925;SHIPMENT;1,00;NTR82270;PCM RITA 2 fran. krevet 200x160 TAPET Helena 103 cappuccino;NTR82270
S-OTP-26-17925;SHIPMENT;1,00;NTR82271;PCM RITA 2 fran. krevet 200x160 UZGLAVLJE Helena 103 cappuccino;NTR82271
S-OTP-26-17925;SHIPMENT;1,00;NTR82287;PCM TINA 2 fran. krevet 200x70 KORPUS DESNI Himalia 108 sivo;NTR82287
S-OTP-26-17925;SHIPMENT;1,00;NTR82291;PCM TINA 2 fran. krevet 200x70 KORPUS LIJEVI Himalia 108 sivo;NTR82291
S-OTP-26-17925;SHIPMENT;1,00;NTR82294;PCM RITA 2 fran. krevet 200x80 KORPUS DESNI Helena 103 cappuccino;NTR82294
S-OTP-26-17925;SHIPMENT;1,00;NTR82295;PCM TINA 2 fran. krevet 200x80 KORPUS DESNI Himalia 105 cappuccino;NTR82295
S-OTP-26-17925;SHIPMENT;1,00;NTR82297;PCM RITA 2 fran. krevet 200x80 KORPUS LIJEVI Helena 103 cappuccino;NTR82297
S-OTP-26-17925;SHIPMENT;1,00;NTR82298;PCM TINA 2 fran. krevet 200x80 KORPUS LIJEVI Himalia 105 cappuccino;NTR82298
S-OTP-26-17925;SHIPMENT;1,00;NTR82312;PCM TINA 2 fran. krevet 200x140 TAPET Himalia 108 sivo;NTR82312
S-OTP-26-17925;SHIPMENT;1,00;NTR82314;PCM TINA 2 fran. krevet 200x140 UZGLAVLJE Himalia 108 sivo;NTR82314
S-OTP-26-17925;SHIPMENT;1,00;NTR82315;PCM TINA 2 fran. krevet 200x160 TAPET Himalia 105 cappuccino;NTR82315
S-OTP-26-17925;SHIPMENT;1,00;NTR82317;PCM TINA 2 fran. krevet 200x160 UZGLAVLJE Himalia 105 cappuccino;NTR82317
S-OTP-26-17925;SHIPMENT;3,00;NTR82329;PCM TINA 2 fran. krevet 140/160 OKOV+NOGE;NTR82329
S-OTP-26-17925;SHIPMENT;1,00;NTR82334;PCM RITA 2 fran. krevet 140/160 OKOV+NOGE;NTR82334
S-OTP-26-17925;SHIPMENT;1,00;NTR82335;PCM ROSE 2 kr. ladica 160/180 OKOV+NOGE;NTR82335
S-OTP-26-17926;SHIPMENT;1,00;NGP084136;PC stol DAVOS-R PLOČA 160-210x90 hrast engrain classic ZA.;NGP084136
S-OTP-26-17926;SHIPMENT;2,00;NGP235047;PC CVITA NEXT or.klizni 220x200/300/300 6L  vrata (L/D-2kom) OGL.bijela mat ZA.;NGP235047
S-OTP-26-17926;SHIPMENT;1,00;NTR87077;PCM stol TARO FIX 180x90 PLOČA tam.smeđi hrast mat lak;NTR87077
S-OTP-26-17926;SHIPMENT;1,00;NGP235002;PC CVITA NEXT or.klizni 220x200/250/250 3L stranice bijela mat ZA.;NGP235002
S-OTP-26-17926;SHIPMENT;1,00;NGP235008;PC CVITA NEXT or.klizni 220x200  leđa bijelo ZA.;NGP235008
S-OTP-26-17926;SHIPMENT;1,00;NGP235011;PC CVITA NEXT or.klizni 220x200/250 3L  vertikala 2140 (1 kom) bijelo ZA.;NGP235011
S-OTP-26-17926;SHIPMENT;2,00;NGP235017;PC CVITA NEXT or.klizni 200/250/250 3L/300/300 6L vezna polica 973 ( 3kom) /sokl bijelo ZA.;NGP235017
S-OTP-26-17926;SHIPMENT;1,00;NGP235019;PC CVITA NEXT or.klizni 220x200/250/300 vertikala 1676/polica bijelo ZA.;NGP235019
S-OTP-26-17926;SHIPMENT;1,00;NGP235025;PC CVITA NEXT or.klizni 220x200 okov ALU ZA.;NGP235025
